,year,state_po,candidate,party,candidatevotes,totalvotes,percent_vote
0,2016,AL,"Trump, Donald J.",republican,1318255,2123372,62
1,2016,AL,"Clinton, Hillary",democrat,729547,2123372,34
2,2016,AL,"Johnson, Gary",libertarian,44467,2123372,2
3,2016,AL,Others,Others,21712,2123372,1
4,2016,AL,"Stein, Jill",green,9391,2123372,0
5,2016,AK,"Trump, Donald J.",republican,163387,318608,51
6,2016,AK,"Clinton, Hillary",democrat,116454,318608,36
7,2016,AK,"Johnson, Gary",libertarian,18725,318608,5
8,2016,AK,Others,Others,9201,318608,2
9,2016,AK,"Stein, Jill",green,5735,318608,1
10,2016,AK,"Castle, Darrell L.",constitution party,3866,318608,1
11,2016,AK,"De La Fuente, Roque ""Rocky""",no party affiliation,1240,318608,0
12,2016,AZ,"Trump, Donald J.",republican,1252401,2573165,48
13,2016,AZ,"Clinton, Hillary",democrat,1161167,2573165,45
14,2016,AZ,"Johnson, Gary",libertarian,106327,2573165,4
15,2016,AZ,"Stein, Jill",green,34345,2573165,1
16,2016,AZ,Others,independent,17473,2573165,0
17,2016,AZ,"Castle, Darrell L.",constitution party,1058,2573165,0
18,2016,AZ,Others,no party affiliation,311,2573165,0
19,2016,AZ,Others,democrat,42,2573165,0
20,2016,AZ,"De La Fuente, Roque ""Rocky""",american delta party,29,2573165,0
21,2016,AZ,"Tittle, Sheila ""Samm""",we the people,12,2573165,0
22,2016,AR,"Trump, Donald J.",republican,684872,1130635,60
23,2016,AR,"Clinton, Hillary",democrat,380494,1130635,33
24,2016,AR,"Johnson, Gary",libertarian,29829,1130635,2
25,2016,AR,"McMullin, Evan",better for america,13255,1130635,1
26,2016,AR,"Stein, Jill",green,9473,1130635,0
27,2016,AR,"Hedges, Jim",prohibition,4709,1130635,0
28,2016,AR,"Castle, Darrell L.",constitution party,4613,1130635,0
29,2016,AR,"Kahn, Lynn S.",independent,3390,1130635,0
30,2016,CA,"Clinton, Hillary",democrat,8753788,14181595,61
31,2016,CA,"Trump, Donald J.",republican,4483810,14181595,31
32,2016,CA,"Johnson, Gary",libertarian,478500,14181595,3
33,2016,CA,"Stein, Jill",green,278657,14181595,1
34,2016,CA,Others,Others,120739,14181595,0
35,2016,CA,"La Riva, Gloria Estella",peace & freedom,66101,14181595,0
36,2016,CO,"Clinton, Hillary",democrat,1338870,2780220,48
37,2016,CO,"Trump, Donald J.",republican,1202484,2780220,43
38,2016,CO,"Johnson, Gary",libertarian,144121,2780220,5
39,2016,CO,"Stein, Jill",green,38437,2780220,1
40,2016,CO,Scattering,unaffiliated,31485,2780220,1
41,2016,CO,"Castle, Darrell L.",american constitution party,11699,2780220,0
42,2016,CO,"Keniston, Chris",veterans party of america,5028,2780220,0
43,2016,CO,"De La Fuente, Roque ""Rocky""",american delta party,1255,2780220,0
44,2016,CO,"Kopitke, Kyle Kenley",independent american,1096,2780220,0
45,2016,CO,"Maldonado, Joseph Allen",independent people of colorado,872,2780220,0
46,2016,CO,"Maturen, Michael A.",american solidarity party,862,2780220,0
47,2016,CO,"Silva, Rod",nutrition party,751,2780220,0
48,2016,CO,"Hoefling, Tom",america's party,710,2780220,0
49,2016,CO,"La Riva, Gloria Estella",socialism and liberation party,531,2780220,0
50,2016,CO,"Kennedy, Alyson",socialist workers,452,2780220,0
51,2016,CO,"Kotlikoff, Laurence",kotlikoff for president,392,2780220,0
52,2016,CO,"Lyttle, Bradford",nonviolent resistance/pacifist,382,2780220,0
53,2016,CO,"Atwood, Frank",approval voting party,337,2780220,0
54,2016,CO,"Emidio ""Mimi"", Soltysik",socialist party usa,271,2780220,0
